,T Crawl [F],Crawl Water Content [lb],Crawl Dry Bulb F,Crawl DP F,DB C,DP C,RH_crawl [%],Incoming Water [lb/hr],Outgoing Water [lb/hr],Condensation per SF [lb],Step
93,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3690001365821844,0.1001560635240569,9.081614403914707e-05,93
94,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.37298953868120654,0.12402266520487414,9.620832440690681e-05,94
95,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3449580637289558,0.11006580248868066,8.808050062284668e-05,95
96,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3693460633052106,0.10023805814242129,9.089897821285766e-05,96
97,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.34394008394135117,0.10023805814242129,8.598105731393668e-05,97
98,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3444541064054267,0.1001560635240569,8.606468639750332e-05,98
99,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3430227385066141,0.07343597656254962,8.061531457011206e-05,99
100,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3444541064054267,0.1001560635240569,8.606468639750332e-05,100
101,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3444541064054267,0.1001560635240569,8.606468639750332e-05,101
102,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.34423837558253934,0.09762366336395314,8.553272143757082e-05,102
103,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.41302796678723724,0.1001560635240569,9.933875925499801e-05,103
104,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3698837273248592,0.1001560635240569,9.098718367188447e-05,104
105,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.348465139281293,0.10007552013787589,8.682552447137872e-05,105
106,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.34678737361512213,0.07333584154189227,8.132466418060529e-05,106
107,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.4164395943603543,0.04294849085283102,8.892529717637465e-05,107
