,T Crawl [F],HR Crawl [lb/lb],RH_crawl [%]
452,46.64,0.0031734561989599686,39.53334611599752
453,46.64,0.0031741585394978672,39.54205109992616
454,46.64,0.0031748249925665647,39.550311267517216
455,46.64,0.0031756735340203643,39.56082825357198
456,46.64,0.0031761039523618686,39.56616293040324
457,46.64,0.003176479431112594,39.57081667076852
458,46.64,0.0031766609588768954,39.57306655130046
459,46.64,0.003176676575311341,39.57326010351487
460,46.64,0.00317642663148495,39.570162264544116
461,46.64,0.0031757708513258124,39.56203442115646
462,46.64,0.0031752214358055724,39.55522486485869
463,46.64,0.0031745888319436723,39.54738424223612
464,46.64,0.0031747483025770283,39.54936075562338
465,46.64,0.003174800199808464,39.55000398087339
466,46.64,0.0031750978808584096,39.5536935006301
467,46.64,0.003174741133923613,39.54927190581013
468,46.64,0.003174315095485366,39.54399149124504
469,46.64,0.003174093039414899,39.541239276376295
470,46.64,0.0031740063945518097,39.54016537914954
471,46.64,0.003173975825926273,39.53978650419754
472,46.64,0.0031741582844249335,39.542047938492104
473,46.64,0.00317493524280997,39.55167773186218
474,46.64,0.00317615755459231,39.56682728488784
475,46.64,0.0031781224738466874,39.59118072489644
476,46.64,0.0031799622116918383,39.61398251303929
477,46.64,0.0031808060765471454,39.624441364608955
478,46.64,0.0031814154561003723,39.63199399041189
479,46.64,0.0031818867702128923,39.637835428567904
480,46.64,0.0031815337608310894,39.633460252804504
481,46.64,0.003181152301553704,39.62873246529502
482,46.64,0.0031807181814973023,39.62335199566255
483,46.64,0.0031808929040501484,39.62551750210698
484,46.64,0.0031805802406902504,39.62164236029404
485,46.64,0.0031811519724828383,39.62872838680443
486,46.64,0.003180897295913994,39.62557193472932
487,46.64,0.0031811972131211897,39.62928909735168
